HCoV-229E__250129-BoDT-NAS,HCoV-229E__260313-MBTA_Ha-NAS-P1,HCoV-HKU1__260115-Copl-NAS-P1,HCoV-HKU1__260304-BC-NAS-P1,HCoV-HKU1__260313-MBTA_Ha-NAS-P1,HPIV-4__260115-Copl-NAS-P1,RSV-A__251217-BoDT-NAS-P1,RSV-B__260304-BC-NAS-P1,Rhinovirus_A__251217-BoDT-NAS-P1,Rhinovirus_A__251219-MBTA_Ha-NAS-P1,Rhinovirus_A__260514-BoDT-NAS-P1,Rhinovirus_B__251217-BoDT-NAS-P1,Rhinovirus_B__260613-MBTA_Ha-NAS-P1,Rhinovirus_C__260115-Copl-NAS-P1,Rhinovirus_C__260304-BC-NAS-P1,SARS-CoV-2__260304-BC-NAS-P1,hMPV__260401-BC-NAS-P1
1.0,0.9233511586452763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9233511586452763,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,0.7183544303797469,0.3628938156359393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.7183544303797469,1.0,0.35953757225433525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.3628938156359393,0.35953757225433525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005545286506469501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.005545286506469501,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.020242914979757085,0.03361344537815126,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020242914979757085,1.0,0.020080321285140562,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03361344537815126,0.020080321285140562,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01107011070110701,0.0033783783783783786,0.004,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01107011070110701,1.0,0.0,0.004310344827586207,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033783783783783786,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004310344827586207,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
